CourtID,CourtName,DistrictID,StateID,Active
3001,Bengaluru Urban District & Sessions Court,4401,29,true
3002,Mysuru District & Sessions Court,4402,29,true
3003,Belagavi District & Sessions Court,4403,29,true
3004,Kalaburagi District & Sessions Court,4404,29,true
3005,Dakshina Kannada District & Sessions Court (Mangaluru),4405,29,true
3006,Tumakuru District & Sessions Court,4406,29,true
3007,Ballari District & Sessions Court,4407,29,true
3008,Shivamogga District & Sessions Court,4408,29,true
3009,Bagalkote District & Sessions Court,4409,29,true
3010,Bengaluru Rural District & Sessions Court,4410,29,true
3011,Bidar District & Sessions Court,4411,29,true
3012,Chamarajanagar District & Sessions Court,4412,29,true
3013,Chikkaballapura District & Sessions Court,4413,29,true
3014,Chikkamagaluru District & Sessions Court,4414,29,true
3015,Chitradurga District & Sessions Court,4415,29,true
3016,Davanagere District & Sessions Court,4416,29,true
3017,Dharwad District & Sessions Court,4417,29,true
3018,Gadag District & Sessions Court,4418,29,true
3019,Hassan District & Sessions Court,4419,29,true
3020,Haveri District & Sessions Court,4420,29,true
3021,Kodagu District & Sessions Court,4421,29,true
3022,Kolar District & Sessions Court,4422,29,true
3023,Koppal District & Sessions Court,4423,29,true
3024,Mandya District & Sessions Court,4424,29,true
3025,Raichur District & Sessions Court,4425,29,true
3026,Ramanagara District & Sessions Court,4426,29,true
3027,Udupi District & Sessions Court,4427,29,true
3028,Uttara Kannada District & Sessions Court,4428,29,true
3029,Vijayapura District & Sessions Court,4429,29,true
3030,Vijayanagara District & Sessions Court,4430,29,true
3031,Yadgir District & Sessions Court,4431,29,true
