DistrictID,DistrictName,StateID,Active
4401,Bengaluru Urban,29,true
4402,Mysuru,29,true
4403,Belagavi,29,true
4404,Kalaburagi,29,true
4405,Dakshina Kannada,29,true
4406,Tumakuru,29,true
4407,Ballari,29,true
4408,Shivamogga,29,true
4409,Bagalkote,29,true
4410,Bengaluru Rural,29,true
4411,Bidar,29,true
4412,Chamarajanagar,29,true
4413,Chikkaballapura,29,true
4414,Chikkamagaluru,29,true
4415,Chitradurga,29,true
4416,Davanagere,29,true
4417,Dharwad,29,true
4418,Gadag,29,true
4419,Hassan,29,true
4420,Haveri,29,true
4421,Kodagu,29,true
4422,Kolar,29,true
4423,Koppal,29,true
4424,Mandya,29,true
4425,Raichur,29,true
4426,Ramanagara,29,true
4427,Udupi,29,true
4428,Uttara Kannada,29,true
4429,Vijayapura,29,true
4430,Vijayanagara,29,true
4431,Yadgir,29,true
