UnitID,UnitName,TypeID,ParentUnit,NationalityID,DistrictID,StateID,Active
440101,Yeshwanthpur PS,1,0,1,4401,29,true
440102,Whitefield PS,1,0,1,4401,29,true
440103,K.G. Halli PS,1,0,1,4401,29,true
440201,K.R. Market PS,1,0,1,4402,29,true
440202,Vidyaranyapuram PS,1,0,1,4402,29,true
440301,Belagavi Camp PS,1,0,1,4403,29,true
440401,Kalaburagi Town PS,1,0,1,4404,29,true
440501,Mangaluru North PS,1,0,1,4405,29,true
440601,Tumakuru City PS,1,0,1,4406,29,true
440602,Sira Rural PS,1,0,1,4406,29,true
440701,Ballari Town PS,1,0,1,4407,29,true
440801,Shivamogga City PS,1,0,1,4408,29,true
440802,Sagar Rural PS,1,0,1,4408,29,true
440901,Bagalkote Town PS,1,0,1,4409,29,true
440902,Jamkhandi Rural PS,1,0,1,4409,29,true
441001,Devanahalli PS,1,0,1,4410,29,true
441002,Hoskote Rural PS,1,0,1,4410,29,true
441101,Bidar Town PS,1,0,1,4411,29,true
441102,Basavakalyan Rural PS,1,0,1,4411,29,true
441201,Chamarajanagar Town PS,1,0,1,4412,29,true
441202,Kollegal Rural PS,1,0,1,4412,29,true
441301,Chikkaballapura Town PS,1,0,1,4413,29,true
441302,Chintamani Rural PS,1,0,1,4413,29,true
441401,Chikkamagaluru Town PS,1,0,1,4414,29,true
441402,Kadur Rural PS,1,0,1,4414,29,true
441501,Chitradurga Town PS,1,0,1,4415,29,true
441502,Hiriyur Rural PS,1,0,1,4415,29,true
441601,Davanagere City PS,1,0,1,4416,29,true
441602,Harihar Rural PS,1,0,1,4416,29,true
441701,Hubballi City PS,1,0,1,4417,29,true
441702,Dharwad Rural PS,1,0,1,4417,29,true
441801,Gadag Town PS,1,0,1,4418,29,true
441802,Ron Rural PS,1,0,1,4418,29,true
441901,Hassan Town PS,1,0,1,4419,29,true
441902,Arsikere Rural PS,1,0,1,4419,29,true
442001,Haveri Town PS,1,0,1,4420,29,true
442002,Ranebennur Rural PS,1,0,1,4420,29,true
442101,Madikeri Town PS,1,0,1,4421,29,true
442102,Virajpet Rural PS,1,0,1,4421,29,true
442201,Kolar Town PS,1,0,1,4422,29,true
442202,Bangarapet Rural PS,1,0,1,4422,29,true
442301,Koppal Town PS,1,0,1,4423,29,true
442302,Gangavathi Rural PS,1,0,1,4423,29,true
442401,Mandya Town PS,1,0,1,4424,29,true
442402,Maddur Rural PS,1,0,1,4424,29,true
442501,Raichur Town PS,1,0,1,4425,29,true
442502,Sindhanur Rural PS,1,0,1,4425,29,true
442601,Ramanagara Town PS,1,0,1,4426,29,true
442602,Channapatna Rural PS,1,0,1,4426,29,true
442701,Udupi Town PS,1,0,1,4427,29,true
442702,Kundapura Rural PS,1,0,1,4427,29,true
442801,Karwar Town PS,1,0,1,4428,29,true
442802,Sirsi Rural PS,1,0,1,4428,29,true
442901,Vijayapura City PS,1,0,1,4429,29,true
442902,Indi Rural PS,1,0,1,4429,29,true
443001,Hosapete Town PS,1,0,1,4430,29,true
443002,Kudligi Rural PS,1,0,1,4430,29,true
443101,Yadgir Town PS,1,0,1,4431,29,true
443102,Shahapur Rural PS,1,0,1,4431,29,true
